States/UTs,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2017,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2018,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2019,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2020 - Numbers,State/UT-Wise Total Number of Persons Killed in Road Accidents during - 2020 - Rank,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2019,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2020,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2017,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2018,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2019,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2020,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2018"
Andhra Pradesh,8060,7556,7984,7039,7,5.4,5.0,5.3,5.3,9.1,8.4,8.8,7.7,8.4,7.0,6.7,456.7,346.3
Arunachal Pradesh,110,175,127,73,28,0.1,0.1,0.1,0.0,8.3,13.0,9.4,5.3,6.1,8.3,5.5,29.7,34.6
Assam,2783,2966,3208,2629,18,1.9,2.0,2.1,1.7,8.5,8.9,9.6,7.8,9.2,8.6,8.1,82.4,86.3
Bihar,5554,6729,7205,6699,9,3.8,4.4,4.8,4.4,5.3,6.3,6.7,6.2,8.9,9.1,8.4,265.0,231.6
Chhattisgarh,4136,4592,5003,4606,13,2.8,3.0,3.3,3.0,15.8,17.3,18.7,17.0,7.9,7.9,7.8,422.7,447.7
Goa,328,262,297,223,23,0.2,0.2,0.2,0.1,16.2,12.7,14.0,10.3,2.6,2.0,2.1,196.9,140.8
Gujarat,7289,7996,7390,6170,10,4.9,5.3,4.9,4.1,11.5,12.5,11.4,9.4,3.3,3.4,2.9,402.9,396.3
Haryana,5120,5118,5057,4507,14,3.5,3.4,3.3,3.0,18.4,18.1,17.7,15.5,5.5,6.6,5.9,629.1,1023.2
Himachal Pradesh,1203,1208,1146,893,20,0.8,0.8,0.8,0.6,16.8,16.8,15.8,12.2,8.9,8.1,7.0,191.5,195.2
Jammu and Kashmir,926,984,996,728,21,0.6,0.6,0.7,0.5,7.4,7.8,7.8,5.6,6.1,5.9,5.4,146.1,90.5
