States/UTs,Number of Fatal Road Accidents in 2017,Number of Fatal Road Accidents in 2018,Number of Fatal Road Accidents in 2019,Number of Fatal Road Accidents in 2020 - Number,Number of Fatal Road Accidents in 2020 - Rank
Andhra Pradesh,7564,6998,7389,6531,7
Arunachal Pradesh,103,134,108,61,28
Assam,2474,2829,3019,2483,18
Bihar,5045,6244,6731,6197,9
Chhattisgarh,3878,4217,4603,4234,13
Goa,306,248,283,213,23
Gujarat,6739,7176,6726,5622,10
Haryana,4700,4806,4684,4181,14
Himachal Pradesh,907,926,930,734,20
Jammu and Kashmir,765,809,762,623,21
Jharkhand,3034,3261,3414,2775,17
Karnataka,9739,10093,10060,9084,4
Kerala,3915,4069,4183,2823,16
Madhya Pradesh,9258,9721,10182,9874,3
Maharashtra,11220,12098,11787,10773,2
Manipur,107,122,146,112,27
Meghalaya,140,165,169,130,26
Mizoram,55,39,46,41,32
Nagaland,35,35,24,46,31
Odisha,4372,4861,4844,4391,12
Punjab,4139,4479,4190,3646,15
Rajasthan,9300,9295,9471,8363,5
Sikkim,60,51,61,34,33
Tamil Nadu,15061,11375,9813,7559,6
Telangana,6110,6051,6472,6429,8
Tripura,153,194,224,179,24
Uttarakhand,727,797,750,592,22
Uttar Pradesh,17706,19364,19731,17075,1
West Bengal,5199,5185,5120,4582,11
Andaman and Nicobar Islands,20,18,20,12,34
Chandigarh,103,97,100,50,30
Dadra and Nagar Haveli,40,52,48,61,28
Daman and Diu,36,34,23,NA,35
Delhi,1565,1657,1433,1163,19
Lakshadweep,0,1,0,0,35
Puducherry,221,225,143,133,25
Total ,134796,137726,137689,120806,NA
