States/UTs,Hit and Run - Total Accdents,Hit and Run - Persons Killed,Hit and Run - Persons Injured - Greviously Injured,Hit and Run - Persons Injured - Minor Injury,With Parked Vehicle - Total Accdents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Injured - Greviously Injured,With Parked Vehicle - Persons Injured - Minor Injury,Hit from Back - Total Accdents,Hit from Back - Persons Killed,Hit from Back - Persons Injured - Greviously Injured,Hit from Back - Persons Injured - Minor Injury,Hit from side - Total Accdents,Hit from side - Persons Killed,Hit from side - Persons Injured - Greviously Injured,Hit from side - Persons Injured - Minor Injury,Run Off Road - Total Accdents,Run Off Road - Persons Killed,Run Off Road - Persons Injured - Greviously Injured,Run Off Road - Persons Injured - Minor Injury,Fixed Object - Total Accdents,Fixed Object - Persons Killed,Fixed Object - Persons Injured - Greviously Injured,Fixed Object - Persons Injured - Minor Injury,Vehicle Overturn - Total Accdents,Vehicle Overturn - Persons Killed,Vehicle Overturn - Persons Injured - Greviously Injured,Vehicle Overturn - Persons Injured - Minor Injury,Head on Collision - Total Accdents - Number,Head on Collision - Persons Killed - Number,Head on Collision - Persons Injured - Greviously Injured,Head on Collision - Persons Injured - Minor Injury,other - Total Accdents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury
Andhra Pradesh,1196,515,253,640,727,303,147,584,4623,1320,1233,3578,2482,718,748,1665,691,260,327,336,920,383,232,688,1374,557,524,972,4927,1879,984,4352,2569,1104,340,2072
Arunachal Pradesh,7,3,5,2,17,10,14,9,22,7,12,8,19,6,9,7,14,5,11,9,15,9,14,10,14,8,9,6,17,18,30,19,9,7,5,6
Assam,1235,484,875,123,400,117,300,36,1475,622,1026,100,833,338,545,73,291,91,227,18,285,113,209,17,612,214,422,46,770,347,554,67,694,303,544,87
Bihar,774,651,506,6,218,196,221,2,715,531,654,30,874,653,759,32,364,296,267,9,359,114,143,3,781,579,593,26,3523,2867,2890,105,1031,812,754,16
Chhattisgarh,1539,814,193,972,277,88,40,200,2212,646,278,1761,1483,389,191,1241,1258,489,221,973,626,313,38,381,365,210,50,370,1929,717,391,1448,1967,940,269,1488
Goa,36,7,7,8,20,4,0,1,583,54,49,169,619,49,56,261,195,19,4,35,100,18,11,18,22,1,0,2,639,55,74,146,161,16,1,38
Gujarat,1552,995,656,325,575,276,280,215,4336,1672,2444,1661,2798,1100,1529,1086,936,403,498,300,440,242,239,154,827,504,474,300,1628,796,931,635,306,182,140,135
Haryana,2386,1074,324,1370,273,113,34,181,720,314,132,427,596,305,119,346,222,101,49,133,210,80,44,92,447,244,89,175,958,411,174,556,3619,1865,1272,2142
Himachal Pradesh,411,97,175,233,58,7,19,34,106,38,54,67,183,33,99,162,537,446,196,732,89,41,37,80,99,41,33,151,437,89,274,526,319,101,164,187
Jammu and Kashmir,337,42,524,250,19,0,40,13,152,14,270,104,129,24,105,125,429,125,702,413,13,4,25,30,170,60,203,93,185,24,190,170,3426,435,1318,1319
