States,Valid Permanent License - Number,Learner's Licence,Without Licence,Others(Not known),Total Accidents
Andhra Pradesh,13324,1100,2828,2257,19509
Arunachal Pradesh,69,21,26,18,134
Assam,4511,886,422,776,6595
Bihar,7250,540,75,774,8639
Chhattisgarh,7019,662,1422,2553,11656
Goa,2265,2,57,51,2375
Gujarat,10433,655,791,1519,13398
Haryana,3710,90,132,5499,9431
Himachal Pradesh ,1410,22,645,162,2239
Jammu and Kashmir,3368,49,91,1352,4860
Jharkhand,1418,481,821,1685,4405
Karnataka,27568,649,3674,2287,34178
Kerala,21380,80,713,5704,27877
Madhya Pradesh,33434,2226,4177,5429,45266
Maharashtra,21893,529,905,1644,24971
Manipur,255,88,28,61,432
Meghalaya,134,3,13,64,214
Mizoram,32,11,8,2,53
Nagaland,185,68,36,211,500
Orissa,6594,713,1102,1408,9817
Punjab,2882,931,796,594,5203
Rajasthan,16634,343,372,1765,19114
Sikkim,96,26,16,0,138
Tamil Nadu,35850,1489,6174,1971,45484
Telangana,14763,275,1049,3085,19172
Tripura,435,19,12,0,466
Uttarakhand,805,15,6,215,1041
Uttar Pradesh,17506,4648,5270,6819,34243
West Bengal,5122,251,2788,1019,9180
Andaman and Nicobar Islands,136,0,5,0,141
Chandigarh,155,0,4,0,159
Dadra and Nagar Haveli,78,1,6,15,100
Daman and Diu,NA,NA,NA,NA,0
Delhi ,2366,80,116,1616,4178
Lakshadweep,1,0,0,0,1
Puducherry,608,24,274,63,969
Total,263689,16977,34854,50618,366138
