States/UTs,Normally Loaded - No. of Accidents,Normally Loaded - Accidents - Rank,Normally Loaded - No. of Persons - Killed,Normally Loaded - No. of Persons - Killed - Rank,Normally Loaded - No. of Persons - Greviously Injured,Normally Loaded - No. of Persons - Minor Injured,Overloaded/Hanging - No. of Accidents - Number,Overloaded/Hanging - Accidents - Rank,Overloaded/Hanging - No. of Persons - Killed - Number,Overloaded/Hanging - Persons - Killed - Rank,Overloaded/Hanging - No. of Persons - Greviously Injured,Overloaded/Hanging - No. of Persons - Minor Injured,Others - No. of Accidents,Others - No. of Persons - Killed,Others - No. of Persons - Greviously Injured,Others - No. of Persons - Minor Injured,Not Known - No. of Accidents,Not Known - No. of Persons - Killed,Not Known - No. of Persons - Greviously Injured,Not Known - No. of Persons - Minor Injured,Total all india - No. of Accidents,Total all india - No. of Persons - Killed,Total all india - No. of Persons - Greviously Injured,Total all india - No. of Persons - Minor Injured
Andhra Pradesh,12138,9,4387,9,2825,9471,950,9,369,10,365,989,4317,1455,1168,2900,2104,828,430,1527,19509,7039,4788,14887
Arunachal Pradesh,81,30,40,29,48,35,33,26,19,24,34,20,8,7,15,13,12,7,12,8,134,73,109,76
Assam,3064,14,1251,15,2113,199,1105,7,380,9,836,157,906,345,632,147,1520,653,1121,64,6595,2629,4702,567
Bihar,6323,11,4901,8,4892,180,297,16,236,15,318,6,1245,911,1071,37,774,651,506,6,8639,6699,6787,229
Chhattisgarh,5816,12,2220,13,821,4251,584,13,265,14,133,752,2207,786,296,1620,3049,1335,421,2211,11656,4606,1671,8834
Goa,2375,16,223,22,202,678,0,31,0,30,0,0,0,0,0,0,0,0,0,0,2375,223,202,678
Gujarat,8198,10,3449,10,4589,2972,671,10,358,11,437,356,2992,1339,1604,1209,1537,1024,561,274,13398,6170,7191,4811
Haryana,1542,21,640,19,302,815,660,11,345,12,175,633,1189,547,328,843,6040,2975,1432,3131,9431,4507,2237,5422
Himachal Pradesh,1915,18,769,18,860,1857,58,23,26,23,37,142,106,60,74,123,160,38,80,50,2239,893,1051,2172
Jammu and Kashmir,1718,19,288,21,697,1418,207,17,37,19,193,111,236,27,109,172,2699,376,2378,816,4860,728,3377,2517
Jharkhand,1643,20,1185,17,942,223,504,14,344,13,333,148,387,266,243,69,1871,1249,1009,328,4405,3044,2527,768
Karnataka,25164,3,7160,2,13319,15412,1597,4,454,8,840,1647,5224,1327,2756,3723,2193,819,1027,768,34178,9760,17942,21550
Kerala,25769,2,2721,11,20608,7670,132,20,32,21,106,69,465,63,341,138,1511,163,1169,409,27877,2979,22224,8286
Madhya Pradesh,22369,4,5702,5,2655,20623,4294,2,1191,2,753,3893,7671,1815,1152,6603,10932,2433,1466,9311,45266,11141,6026,40430
Maharashtra,15451,6,6793,3,8958,4314,1216,6,660,4,858,163,6811,3199,3481,1264,1493,917,674,202,24971,11569,13971,5943
Manipur,333,26,95,26,176,339,67,22,19,24,14,92,18,9,15,14,14,4,11,2,432,127,216,447
Meghalaya,80,31,58,27,27,50,6,29,5,28,2,0,38,27,11,5,90,54,97,28,214,144,137,83
Mizoram,31,34,21,32,11,22,8,28,9,27,7,15,14,12,3,10,0,0,0,0,53,42,21,47
Nagaland,125,28,22,31,32,82,18,27,1,29,7,19,132,19,19,48,225,11,34,45,500,53,92,194
Odisha,5505,13,2503,12,3005,2010,1392,5,671,3,771,569,1606,797,747,569,1314,767,711,440,9817,4738,5234,3588
Punjab,2703,15,2060,14,916,605,625,12,482,6,222,161,1032,752,339,202,843,604,260,199,5203,3898,1737,1167
Rajasthan,13031,8,6321,4,3121,8546,966,8,481,7,363,546,2354,1134,575,1385,2763,1314,745,1488,19114,9250,4804,11965
Sikkim,80,31,20,33,43,59,37,24,16,26,36,41,21,11,12,27,0,0,0,0,138,47,91,127
Tamil Nadu,30997,1,5386,7,2321,33708,2435,3,513,5,304,2492,8149,1447,829,7892,3903,713,264,2741,45484,8059,3718,46833
Telangana,15562,5,5604,6,1889,13283,436,15,144,16,62,447,1576,593,266,1300,1598,541,108,1306,19172,6882,2325,16336
Tripura,361,25,146,24,366,9,75,21,32,21,75,1,29,13,18,1,1,1,0,0,466,192,459,11
Uttarakhand,735,23,489,20,481,136,35,25,33,20,31,12,159,84,103,26,112,68,54,11,1041,674,669,185
Uttar Pradesh,13191,7,7393,1,5371,3016,5780,1,3140,1,2529,1418,7966,4494,3270,1931,7306,4122,2899,1976,34243,19149,14069,8341
West Bengal,2341,17,1237,16,2145,329,144,19,93,17,141,18,509,277,381,66,6186,3320,4663,571,9180,4927,7330,984
Andaman and Nicobar Islands,91,29,13,34,41,77,0,31,0,30,0,0,50,1,14,13,0,0,0,0,141,14,55,90
Chandigarh,151,27,44,28,14,134,0,31,0,30,0,0,8,9,0,0,0,0,0,0,159,53,14,134
Dadra and Nagar Haveli,38,33,27,30,32,35,1,30,0,30,0,2,48,27,25,17,13,10,5,3,100,64,62,57
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Delhi ,791,22,218,23,32,675,171,18,61,18,26,137,804,230,42,646,2412,687,112,1992,4178,1196,212,3450
Lakshadweep,0,35,0,35,0,0,0,31,0,30,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Puducherry,620,24,103,25,193,444,0,31,0,30,0,0,210,22,85,142,139,20,32,123,969,145,310,709
Total ,220332,NA,73489,NA,84047,133677,24504,NA,10416,NA,10008,15056,58487,22105,20024,33155,62815,25704,22282,30030,366138,131714,136361,211918
