States/UTs,06-900hrs - Day,09-1200hrs - Day,12-1500hrs - Day,15-1800hrs - Day,18-2100hrs - Night,21-2400hrs - Night,00-300hrs - Night,03-600hrs - Night,Unknown Time,Total Accidents
Andhra Pradesh,2379,2955,2939,3800,4152,1575,607,1065,37,19509
Arunachal Pradesh,18,24,16,8,8,8,18,15,19,134
Assam,764,1186,1073,1108,969,677,410,344,64,6595
Bihar,1425,1621,1227,1379,1195,487,105,1165,35,8639
Chhattisgarh,1043,1691,1941,2454,2683,1130,308,406,0,11656
Goa,197,351,327,411,461,296,169,157,6,2375
Gujarat,1421,2067,2144,2300,2824,1366,655,609,12,13398
Haryana,1019,1182,1225,1429,1855,1041,591,613,476,9431
Himachal Pradesh,189,321,303,437,547,257,108,77,0,2239
Jammu and Kashmir,502,862,1016,1126,893,276,87,92,6,4860
Jharkhand,580,748,641,610,595,395,275,308,253,4405
Karnataka,3580,4939,5134,5894,7557,3614,1576,1616,268,34178
Kerala,3298,5238,4409,5667,6028,1938,549,707,43,27877
Madhya Pradesh,3666,6200,7468,8845,9618,5219,2029,1580,641,45266
Maharashtra,2617,3509,3763,4167,4607,2973,1610,1463,262,24971
Manipur,57,71,67,96,88,38,7,5,3,432
Meghalaya,27,19,29,35,43,32,15,14,0,214
Mizoram,3,7,7,12,11,7,3,3,0,53
Nagaland,50,46,47,65,102,92,48,50,0,500
Orissa,933,1432,1640,1920,1890,922,428,545,107,9817
Punjab,561,694,670,791,1000,628,398,348,113,5203
Rajasthan,1770,2715,3253,3860,3879,1876,889,721,151,19114
Sikkim,13,13,16,25,16,31,11,13,0,138
Tamil Nadu,5186,6864,6853,7751,10751,4108,1906,2060,5,45484
Telangana,1974,2705,3031,3604,4099,2012,799,876,72,19172
Tripura,46,99,85,110,70,43,8,4,1,466
Uttarakhand,84,124,185,188,198,119,20,35,88,1041
Uttar Pradesh,4486,4659,4539,4987,5178,3579,2633,3018,1164,34243
West Bengal,953,1433,1343,1444,1420,844,1150,593,0,9180
Andaman and Nicobar Is.,10,14,28,29,41,15,1,3,0,141
Chandigarh,15,12,14,24,41,39,8,6,0,159
Dadra and Nagar Haveli,8,10,16,22,18,19,3,2,2,100
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Delhi,449,573,511,547,644,649,462,280,63,4178
Lakshadweep,0,0,0,0,0,1,0,0,0,1
Puducherry,112,112,130,118,126,126,117,128,0,969
Total,39435,54496,56090,65263,73607,36432,18003,18921,3891,366138
