States/UTs,Traffic Light Signal - Total number of Accidents,Traffic Light Signal - Persons Killed,Traffic Light Signal - Persons Injured - Greviously Injured,Traffic Light Signal - Persons Injured - Minor Injury,Traffic Light Signal - Persons Injured - Total Injured,Police Controlled - Total number of Accidents,Police Controlled - Persons Killed,Police Controlled - Persons Injured - Greviously Injured,Police Controlled - Persons Injured - Minor Injury,Police Controlled - Persons Injured - Total Injured,Stop Sign - Total number of Accidents,Stop Sign - Persons Killed,Stop Sign - Persons Injured - Greviously Injured,Stop Sign - Persons Injured - Minor Injury,Stop Sign - Persons Injured - Total Injured,Flashing Signal/Blinker - Total number of Accidents,Flashing Signal/Blinker - Persons Killed,Flashing Signal/Blinker - Persons Injured - Greviously Injured,Flashing Signal/Blinker - Persons Injured - Minor Injury,Flashing Signal/Blinker - Persons Injured - Total Injured,Uncontrolled - Total number of Accidents - Number,Uncontrolled - Total number of Accidents - Rank,Uncontrolled - Persons Killed - Number,Uncontrolled - Persons Killed - Rank,Uncontrolled - Persons Injured - Greviously Injured,Uncontrolled - Persons Injured - Minor Injury,Uncontrolled - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,838,211,312,359,671,547,144,175,321,496,405,123,130,224,354,378,100,87,288,375,4185,7,1505,5,1288,2358,3646,13156,4956,2796,11337,14133
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,30,13,43,54,23,38,21,45,35,80,48,21,34,28,62
Assam,181,44,135,35,170,186,54,207,13,220,123,33,169,13,182,147,58,131,9,140,1164,15,417,17,862,125,987,4794,2023,3198,372,3570
Bihar,0,0,0,0,0,25,19,15,3,18,0,0,0,0,0,0,0,0,0,0,1501,12,1073,8,882,42,924,7113,5607,5890,184,6074
Chhattisgarh,210,43,25,83,108,151,46,10,128,138,69,19,8,43,51,129,37,20,72,92,1927,11,702,13,277,1209,1486,9170,3759,1331,7299,8630
Goa,37,0,3,3,6,30,0,4,4,8,0,0,0,0,0,0,0,0,0,0,217,22,14,26,7,51,58,2091,209,188,620,808
Gujarat,159,41,83,29,112,252,74,103,125,228,96,33,56,30,86,29,10,12,7,19,2721,9,1222,7,1484,882,2366,10141,4790,5453,3738,9191
Haryana,128,62,20,93,113,52,18,23,34,57,105,21,12,30,42,303,136,74,96,170,1391,14,559,15,624,392,1016,7452,3711,1484,4777,6261
Himachal Pradesh,3,3,1,0,1,8,1,4,3,7,1,1,0,0,0,1,0,1,0,1,46,25,14,26,31,32,63,2180,874,1014,2137,3151
Jammu and Kashmir,6,1,4,0,4,169,42,155,22,177,0,0,0,0,0,0,0,0,0,0,517,19,96,20,496,162,658,4168,589,2722,2333,5055
Jharkhand,46,13,12,17,29,46,19,14,28,42,53,23,16,24,40,60,42,17,29,46,1028,16,712,11,656,218,874,3172,2235,1812,452,2264
Karnataka,1075,183,575,488,1063,848,165,491,345,836,412,50,229,196,425,563,117,352,359,711,6244,4,1614,4,3693,3040,6733,25036,7631,12602,17122,29724
Kerala,510,43,397,125,522,849,65,704,197,901,120,12,96,25,121,509,49,428,127,555,7007,3,635,14,5725,1987,7712,18882,2175,14874,5825,20699
Madhya Pradesh,591,95,52,380,432,379,44,33,265,298,945,103,88,698,786,214,29,28,177,205,11252,1,2476,2,1368,10207,11575,31885,8394,4457,28703,33160
Maharashtra,123,35,78,29,107,43,8,28,7,35,100,27,65,25,90,100,38,54,24,78,3731,8,1262,6,2213,826,3039,20874,10199,11533,5032,16565
Manipur,9,0,0,10,10,4,0,2,2,4,4,0,0,4,4,1,1,0,0,0,50,24,16,23,13,52,65,364,110,201,379,580
Meghalaya,0,0,0,0,0,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,8,34,3,32,5,0,5,203,139,131,82,213
Mizoram,0,0,0,0,0,4,2,1,2,3,0,0,0,0,0,0,0,0,0,0,13,32,15,24,16,1,17,36,25,4,44,48
Nagaland,0,0,0,0,0,29,1,4,9,13,18,0,1,6,7,0,0,0,0,0,19,28,10,28,14,11,25,434,42,73,168,241
Orissa,301,125,141,93,234,325,103,181,146,327,341,162,164,135,299,161,68,93,54,147,1466,13,706,12,743,463,1206,7223,3574,3912,2697,6609
Punjab,270,197,79,60,139,242,168,95,55,150,220,161,69,38,107,193,160,76,29,105,614,18,420,16,150,80,230,3664,2792,1268,905,2173
Rajasthan,218,80,56,125,181,40,15,14,24,38,28,22,4,20,24,59,38,8,34,42,2381,10,1019,9,604,1528,2132,16388,8076,4118,10234,14352
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,4,31,8,11,19,123,43,83,116,199
Tamil Nadu,1776,237,184,1753,1937,1131,243,142,1139,1281,1255,283,220,1022,1242,2614,576,382,2221,2603,5480,6,996,10,513,5449,5962,33228,5724,2277,35249,37526
Telangana,298,44,17,277,294,145,28,15,122,137,66,23,7,57,64,125,34,5,114,119,6187,5,1942,3,428,5326,5754,12351,4811,1853,10440,12293
Tripura,0,0,0,0,0,7,3,5,0,5,0,0,0,0,0,0,0,0,0,0,19,28,2,33,25,0,25,440,187,429,11,440
Uttarakhand,8,3,4,1,5,24,12,17,4,21,5,3,3,1,4,1,2,0,0,0,28,26,18,22,15,3,18,975,636,630,176,806
Uttar Pradesh,998,461,451,298,749,1378,732,513,364,877,1425,782,554,392,946,1483,747,632,345,977,10378,2,5637,1,4015,2381,6396,18581,10790,7904,4561,12465
West Bengal,134,60,96,10,106,219,116,153,20,173,26,16,29,2,31,5,1,5,1,6,241,21,111,19,184,27,211,8555,4623,6863,924,7787
Andaman and Nicobar Island,1,0,0,0,0,5,0,3,1,4,0,0,0,0,0,0,0,0,0,0,11,33,2,33,6,3,9,124,12,46,86,132
Chandigarh,49,17,0,43,43,1,1,0,0,0,0,0,0,0,0,15,5,4,15,19,17,30,5,30,2,15,17,77,25,8,61,69
Dadra and Nagar Haveli,7,5,2,0,2,3,1,3,0,3,16,8,14,2,16,14,10,6,3,9,26,27,15,24,13,15,28,34,25,24,37,61
Daman and Diu,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,35,NA,35,NA,NA,0,NA,NA,NA,NA,NA
Delhi,401,98,39,300,339,62,20,5,42,47,140,37,8,110,118,171,49,6,134,140,941,17,306,18,45,684,729,2463,686,109,2180,2289
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,1,0,0,1,1
Puducherry,88,23,62,72,134,73,11,47,41,88,25,29,75,83,158,37,7,67,81,148,428,20,8,29,49,86,135,318,67,10,346,356
Total,8465,2124,2828,4683,7511,7280,2157,3167,3467,6634,5998,1971,2017,3180,5197,7344,2328,2518,4232,6750,71307,NA,23574,NA,26499,37701,64200,265744,99560,99331,158656,257987
