States/UTs,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,14716,8,5227,9,3984,11208,15192,77,29,19,56,75,413,137,108,353,461,17,2,0,0,0,143,38,32,156,188,4143,1606,645,3114,3759
Arunachal Pradesh,64,31,42,30,56,38,94,18,9,12,12,24,23,7,14,9,23,0,0,0,0,0,3,1,3,2,5,26,14,24,15,39
Assam,4586,15,1899,15,1307,389,1696,468,252,928,36,964,544,152,842,45,887,157,36,389,16,405,198,51,565,25,590,642,239,671,56,727
Bihar,3298,16,2713,13,2585,85,2670,28,10,29,0,29,740,550,524,22,546,0,0,0,0,0,163,89,174,0,174,4410,3337,3475,122,3597
Chhattisgarh,9996,11,4045,10,1461,7407,8868,67,27,5,195,200,497,109,71,440,511,67,4,2,42,44,21,10,1,17,18,1008,411,131,733,864
Goa,1845,20,181,23,143,623,766,8,0,2,4,6,229,18,34,36,70,5,1,0,1,1,0,0,0,0,0,288,23,23,14,37
Gujarat,12449,10,5806,8,6648,4474,11122,57,12,19,32,51,543,208,342,203,545,28,12,13,4,17,79,11,25,34,59,242,121,144,64,208
Haryana,6251,13,3011,12,1026,4131,5157,138,38,17,55,72,515,176,173,277,450,34,11,4,19,23,421,166,268,38,306,2072,1105,749,902,1651
Himachal Pradesh,1383,21,558,20,574,1385,1959,76,20,39,76,115,462,172,277,409,686,0,0,0,0,0,25,8,10,8,18,293,135,151,294,445
Jammu and Kashmir,4821,14,727,19,3308,2496,5804,0,0,0,0,0,30,1,48,11,59,0,0,21,10,31,9,0,0,0,0,0,0,0,0,0
Jharkhand,3136,17,2282,14,1788,495,2283,430,256,181,48,229,173,120,112,38,150,69,42,33,16,49,96,60,56,13,69,501,284,357,158,515
Karnataka,28078,3,8055,3,14161,17868,32029,73,21,30,25,55,712,113,430,470,900,33,3,17,13,30,38,4,30,34,64,5244,1564,3274,3140,6414
Kerala,18100,5,1787,17,14563,5435,19998,77,17,39,46,85,1310,88,1052,468,1520,26,2,31,8,39,23,2,16,9,25,8341,1083,6523,2320,8843
Madhya Pradesh,36997,2,9224,1,4781,33164,37945,989,237,206,930,1136,2334,535,431,2053,2484,375,65,111,255,366,684,143,182,618,800,3887,937,315,3410,3725
Maharashtra,19419,4,9152,2,10972,4415,15387,181,45,122,50,172,1113,489,642,263,905,2,0,0,2,2,10,3,7,1,8,4246,1880,2228,1212,3440
Manipur,265,26,60,27,104,295,399,27,7,10,44,54,28,9,14,26,40,0,0,0,0,0,2,0,0,5,5,110,51,88,77,165
Meghalaya,113,29,77,26,64,49,113,18,12,6,0,6,19,14,14,3,17,0,0,0,0,0,4,1,1,2,3,60,40,52,29,81
Mizoram,22,34,14,33,9,22,31,18,19,7,10,17,5,5,5,8,13,0,0,0,0,0,2,1,0,2,2,6,3,0,5,5
Nagaland,156,27,20,31,32,34,66,107,7,15,20,35,63,5,14,23,37,0,0,0,0,0,0,0,0,0,0,174,21,31,117,148
Orissa,7064,12,3483,11,3789,2544,6333,648,298,313,223,536,749,296,400,403,803,56,15,28,15,43,297,120,182,119,301,1003,526,522,284,806
Punjab,2319,19,1805,16,816,409,1225,537,349,208,146,354,990,714,321,289,610,266,186,99,102,201,407,295,86,73,159,684,549,207,148,355
Rajasthan,16131,7,7866,4,3779,10262,14041,161,63,53,85,138,1205,533,451,710,1161,21,7,4,11,15,68,45,28,23,51,1528,736,489,874,1363
Sikkim,62,32,18,32,42,56,98,28,6,21,32,53,33,13,17,28,45,0,0,0,0,0,0,0,0,0,0,15,10,11,11,22
Tamil Nadu,38354,1,6844,6,2715,39366,42081,696,70,81,695,776,2467,373,152,2735,2887,442,56,130,446,576,717,83,123,777,900,2808,633,517,2814,3331
