States/UTs,Fatal Accidents,Grievous Injury Accidents,Minor Injury Accidents,Non-Injury Accidents,Total Accidents
Andhra Pradesh,6531,3458,7935,1585,19509
Arunachal Pradesh,61,60,13,0,134
Assam,2483,3375,381,356,6595
Bihar ,6197,1873,182,387,8639
Chhattisgarh ,4234,1252,4880,1290,11656
Goa,213,150,427,1585,2375
Gujarat,5622,4522,2357,897,13398
Haryana ,4181,1538,3356,356,9431
Himachal Pradesh,734,761,605,139,2239
Jammu and Kashmir,623,2046,1641,550,4860
Jharkhand,2775,1217,245,168,4405
Karnataka,9084,13821,8511,2762,34178
Kerala,2823,20393,3819,842,27877
Madhya Pradesh,9874,4239,27139,4014,45266
Maharashtra,10773,9094,3432,1672,24971
Manipur,112,77,224,19,432
Meghalaya,130,61,10,13,214
Mizoram,41,8,1,3,53
Nagaland,46,61,126,267,500
Orissa,4391,3690,1433,303,9817
Punjab,3646,973,524,60,5203
Rajasthan,8363,3045,7202,504,19114
Sikkim,34,62,36,6,138
Tamil Nadu,7559,2928,34577,420,45484
Telangana,6429,1837,9310,1596,19172
Tripura,179,267,5,15,466
Uttarakhand,592,360,54,35,1041
Uttar Pradesh,17075,10236,6022,910,34243
West Bengal,4582,4360,238,0,9180
Andaman and Nicobar Island,12,47,49,33,141
Chandigarh,50,10,81,18,159
Dadra and Nagar Haveli,61,30,5,4,100
Daman and Diu,NA,NA,NA,NA,0
Delhi,1163,177,2820,18,4178
Lakshadweep,0,0,1,0,1
Puducherry,133,274,489,73,969
Total,120806,96302,128130,20900,366138
