States/UTs,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Andhra Pradesh,14836,8,5325,8,3158,11897,15055,1376,500,467,956,1423,1563,639,518,1056,1574,124,39,33,124,157,1610,536,612,854,1466
Arunachal Pradesh,36,33,19,32,26,15,41,26,15,28,16,44,28,16,18,19,37,30,18,30,20,50,14,5,7,6,13
Assam,2792,17,1168,18,1867,208,2075,1414,494,1052,112,1164,1033,401,686,104,790,168,45,135,19,154,1188,521,962,124,1086
Bihar,4436,14,3501,10,3369,102,3471,1945,1476,1655,46,1701,2258,1722,1763,81,1844,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,8426,11,3212,11,1171,6473,7644,1376,482,193,979,1172,385,175,54,252,306,26,11,8,16,24,1443,726,245,1114,1359
Goa,2185,20,201,23,181,622,803,190,22,21,56,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,11348,10,5286,9,6090,4000,10090,1332,561,693,571,1264,354,150,219,150,369,364,173,189,90,279,0,0,0,0,0
Haryana,3771,15,1832,16,786,2146,2932,1300,597,355,767,1122,1892,912,424,1063,1487,171,80,158,27,185,2297,1086,514,1419,1933
Himachal Pradesh,2028,21,787,19,958,1947,2905,98,49,33,110,143,16,9,8,5,13,13,10,13,21,34,84,38,39,89,128
Jammu and Kashmir,3440,16,455,22,2511,1538,4049,161,24,86,118,204,52,4,39,28,67,21,2,19,4,23,1186,243,722,829,1551
Jharkhand,1828,22,1353,17,961,262,1223,737,457,423,104,527,623,409,326,110,436,250,154,123,140,263,967,671,694,152,846
Karnataka,28928,2,8390,2,14995,18421,33416,3926,995,2237,2343,4580,1319,375,707,778,1485,5,0,3,8,11,0,0,0,0,0
Kerala,23945,4,2353,13,19279,7096,26375,2799,427,2083,883,2966,1060,182,793,292,1085,73,17,69,15,84,0,0,0,0,0
Madhya Pradesh,28497,3,6883,5,3483,25271,28754,5323,1420,912,4834,5746,3432,840,687,3006,3693,538,103,125,435,560,7476,1895,819,6884,7703
Maharashtra,23945,4,11061,1,13301,5720,19021,700,346,460,133,593,313,152,205,87,292,13,10,5,3,8,0,0,0,0,0
Manipur,284,26,71,26,145,308,453,73,29,19,77,96,57,20,28,57,85,3,2,9,0,9,15,5,15,5,20
Meghalaya,65,31,44,28,35,7,42,11,9,5,5,10,30,23,18,4,22,0,0,0,0,0,108,68,79,67,146
Mizoram,35,34,19,32,9,18,27,12,17,10,10,20,5,5,1,15,16,0,0,0,0,0,1,1,1,4,5
Nagaland,203,27,26,30,40,96,136,129,11,18,43,61,111,8,25,40,65,50,3,5,12,17,7,5,4,3,7
Orissa,6471,12,3186,12,3222,2523,5745,1220,573,707,381,1088,895,414,484,314,798,297,98,189,77,266,934,467,632,293,925
Punjab,2422,18,1888,15,801,566,1367,561,437,186,166,352,1041,734,353,216,569,208,158,45,18,63,971,681,352,201,553
Rajasthan,16579,6,7989,3,3805,10670,14475,202,67,45,119,164,501,257,122,432,554,45,19,10,30,40,1787,918,822,714,1536
Sikkim,66,30,24,31,36,46,82,32,11,21,38,59,25,7,22,22,44,15,5,12,21,33,0,0,0,0,0
Tamil Nadu,36926,1,6336,6,2523,38686,41209,4673,903,549,4587,5136,1798,399,398,1709,2107,252,36,63,192,255,1835,385,185,1659,1844
Telangana,15734,7,5742,7,2103,13309,15412,46,15,5,36,41,277,129,71,173,244,8,9,0,12,12,3107,987,146,2806,2952
Tripura,393,25,148,24,377,8,385,29,21,30,1,31,26,14,38,2,40,0,0,0,0,0,18,9,14,0,14
Uttarakhand,767,23,517,21,469,165,634,145,77,99,8,107,58,43,51,10,61,18,11,12,1,13,53,26,38,1,39
Uttar Pradesh,12860,9,7266,4,5225,3169,8394,5633,3021,2463,1415,3878,6700,3705,2750,1584,4334,2046,1079,983,542,1525,7004,4078,2648,1631,4279
West Bengal,4579,13,2342,14,3715,475,4190,295,157,270,23,293,463,286,391,67,458,14,13,9,0,9,3829,2129,2945,419,3364
Andaman and Nicobar Island,122,29,14,34,48,73,121,19,0,7,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,152,28,46,27,14,131,145,1,1,0,0,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,42,32,29,29,25,46,71,24,12,24,5,29,26,17,10,6,16,0,0,0,0,0,8,6,3,0,3
Daman and Diu,NA,NA,NA,35,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Delhi,2385,19,651,20,106,1965,2071,265,36,17,308,325,194,31,13,204,217,0,0,0,0,0,1334,478,76,973,1049
Lakshadweep,1,35,0,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,519,24,75,25,253,354,607,88,21,21,91,112,0,0,0,0,0,0,0,0,0,0,362,49,36,264,300
Total,261046,NA,88239,NA,95087,158334,253421,36161,13283,15194,19358,34552,26541,12084,11222,11889,23111,4752,2095,2247,1827,4074,37638,16013,12610,20511,33121
