States/Uts,January - Fatal Accidents,January - Total Accdents,January - Persons Killed,January - Persons Injured - Greviously Injured,January - Persons Injured - Minor Injury,January - Persons Injured - Total Injured,February - Fatal Accidents,February - Total Accdents,February - Persons Killed,February - Persons Injured - Greviously Injured,February - Persons Injured - Minor Injury,February - Persons Injured - Total Injured,March - Fatal Accidents,March - Total Accdents,March - Persons Killed,March - Persons Injured - Greviously Injured,March - Persons Injured - Minor Injury,March - Persons Injured - Total Injured,April - Fatal Accidents,April - Total Accdents,April - Persons Killed,April - Persons Injured - Greviously Injured,April - Persons Injured - Minor Injury,April - Persons Injured - Total Injured,May - Fatal Accidents,May - Total Accdents,May - Persons Killed,May - Persons Injured - Greviously Injured,May - Persons Injured - Minor Injury,May - Persons Injured - Total Injured,June - Fatal Accidents,June - Total Accdents,June - Persons Killed,June - Persons Injured - Greviously Injured,June - Persons Injured - Minor Injury,June - Persons Injured - Total Injured,July - Fatal Accidents,July - Total Accdents,July - Persons Killed,July - Persons Injured - Greviously Injured,July - Persons Injured - Minor Injury,July - Persons Injured - Total Injured,August - Fatal Accidents,August - Total Accdents,August - Persons Killed,August - Persons Injured - Greviously Injured,August - Persons Injured - Minor Injury,August - Persons Injured - Total Injured,September - Fatal Accidents,September - Total Accdents,September - Persons Killed,September - Persons Injured - Greviously Injured,September - Persons Injured - Minor Injury,September - Persons Injured - Total Injured,October - Fatal Accidents,October - Total Accdents,October - Persons Killed,October - Persons Injured - Greviously Injured,October - Persons Injured - Minor Injury,October - Persons Injured - Total Injured,November - Fatal Accidents,November - Total Accdents,November - Persons Killed,November - Persons Injured - Greviously Injured,November - Persons Injured - Minor Injury,November - Persons Injured - Total Injured,December - Fatal Accidents,December - Total Accdents,December - Persons Killed,December - Persons Injured - Greviously Injured,December - Persons Injured - Minor Injury,December - Persons Injured - Total Injured,Total - Fatal Accidents,Total - Total Accdents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Andhra Pradesh,628,2003,676,528,1706,2234,612,2003,660,554,1672,2226,532,1621,580,450,1339,1789,199,510,209,120,357,477,421,1116,450,254,810,1064,486,1444,526,389,1028,1417,475,1319,513,333,890,1223,575,1492,608,317,1145,1462,650,1699,717,388,1290,1678,616,1855,672,460,1396,1856,671,2249,710,481,1628,2109,666,2198,718,514,1626,2140,6531,19509,7039,4788,14887,19675
Arunachal Pradesh,7,11,9,16,18,34,8,14,10,12,6,18,6,13,8,10,5,15,3,4,3,3,2,5,4,12,5,8,2,10,2,6,2,4,6,10,5,7,2,4,6,10,2,6,2,6,2,8,3,6,5,2,5,7,7,14,11,14,9,23,5,17,7,15,7,22,9,24,9,15,8,23,61,134,73,109,76,185
Assam,286,810,307,622,72,694,300,809,325,650,78,728,208,649,224,606,64,670,37,111,38,76,19,95,150,349,156,206,29,235,199,508,209,325,32,357,141,409,149,284,28,312,154,432,165,285,41,326,213,494,224,308,37,345,236,623,243,413,45,458,263,670,272,446,41,487,296,731,317,481,81,562,2483,6595,2629,4702,567,5269
Bihar,535,759,569,586,13,599,587,857,640,703,32,735,505,726,572,638,12,650,194,305,203,240,9,249,364,523,403,394,2,396,620,850,684,663,18,681,474,672,518,535,30,565,530,706,574,544,28,572,543,741,576,559,30,589,506,693,541,540,17,557,586,785,625,634,15,649,753,1022,794,751,23,774,6197,8639,6699,6787,229,7016
Chhattisgarh,419,1375,453,265,1158,1423,431,1262,492,221,991,1212,359,957,389,177,737,914,118,286,128,38,190,228,268,699,290,118,482,600,362,917,390,149,620,769,377,960,400,142,687,829,318,908,351,151,621,772,327,864,363,107,630,737,370,1049,400,107,758,865,440,1198,470,112,936,1048,445,1181,480,84,1024,1108,4234,11656,4606,1671,8834,10505
Goa,30,344,31,30,125,155,27,315,27,38,84,122,26,196,29,7,40,47,7,82,7,10,19,29,9,156,10,15,45,60,18,156,19,9,32,41,10,129,10,8,28,36,12,145,13,13,33,46,13,156,13,12,72,84,20,183,21,17,64,81,17,241,19,19,69,88,24,272,24,24,67,91,213,2375,223,202,678,880
Gujarat,602,1538,667,916,521,1437,620,1540,682,820,676,1496,520,1232,575,714,500,1214,160,346,175,163,114,277,288,665,312,320,233,553,411,950,438,521,348,869,413,954,446,474,299,773,396,974,430,497,316,813,432,1078,465,574,375,949,496,1287,546,676,445,1121,637,1376,709,737,536,1273,647,1458,725,779,448,1227,5622,13398,6170,7191,4811,12002
Haryana,378,881,412,171,568,739,380,946,415,233,604,837,308,764,337,182,463,645,90,202,100,41,103,144,233,498,247,134,261,395,321,733,343,209,422,631,341,784,361,171,466,637,385,854,425,193,472,665,368,814,391,164,442,606,467,1004,495,234,504,738,466,966,496,238,546,784,444,985,485,267,571,838,4181,9431,4507,2237,5422,7659
Himachal Pradesh,63,190,71,90,233,323,60,195,65,98,163,261,49,168,67,82,230,312,16,49,20,29,33,62,36,116,41,60,98,158,46,139,55,58,111,169,71,223,89,94,198,292,59,216,70,101,180,281,65,217,82,111,151,262,94,279,113,138,264,402,93,223,123,90,239,329,82,224,97,100,272,372,734,2239,893,1051,2172,3223
Jammu and Kashmir,46,361,57,303,155,458,47,440,68,357,234,591,43,356,48,209,214,423,17,145,18,64,87,151,42,320,42,227,159,386,50,388,65,235,210,445,55,410,68,297,216,513,54,464,58,340,235,575,65,467,76,310,254,564,65,536,75,358,282,640,78,520,86,348,272,620,61,453,67,329,199,528,623,4860,728,3377,2517,5894
