States/Uts,Pedestrian - Male,Pedestrian - Female,Pedestrian - Total,Bicycles - Male,Bicycles - Female,Bicycles - Total,Two Wheelers - Male,Two Wheelers - Female,Two Wheelers - Total,Two Wheelers - Rank,Auto Rickshaws - Male,Auto Rickshaws - Female,Auto Rickshaws - Total,"Cars, taxies Vans andLMV - Male","Cars, taxies Vans andLMV - Female","Cars, taxies Vans andLMV - Total",Trucks/Lorries - Male,Trucks/Lorries - Female,Trucks/Lorries - Total,Buses - Male,Buses - Female,Buses - Total,Other non  Motor vehicles(E-Rickshaw) - Male,Other non  Motor vehicles(E-Rickshaw) - Female,Other non  Motor vehicles(E-Rickshaw) - Total,Others - Male,Others - Female,Others - Total
Andhra Pradesh,986,286,1272,133,4,137,3207,507,3714,6,423,136,559,452,101,553,364,34,398,56,7,63,19,3,22,269,52,321
Arunachal Pradesh,1,1,2,0,0,0,24,10,34,28,6,1,7,12,5,17,2,0,2,3,2,5,0,0,0,4,2,6
Assam,511,107,618,151,15,166,707,107,814,17,80,28,108,387,70,457,184,5,189,71,22,93,93,12,105,70,9,79
Bihar,2176,473,2649,296,43,339,2039,348,2387,12,239,70,309,296,51,347,108,15,123,33,5,38,36,4,40,387,80,467
Chhattisgarh,469,106,575,129,8,137,2600,294,2894,9,30,11,41,262,43,305,181,4,185,20,3,23,21,7,28,373,45,418
Goa,22,7,29,2,0,2,148,20,168,23,1,0,1,10,1,11,3,0,3,2,0,2,0,0,0,7,0,7
Gujarat,1000,199,1199,85,2,87,2585,304,2889,10,240,50,290,834,139,973,477,51,528,44,12,56,58,7,65,72,11,83
Haryana,600,58,658,90,1,91,1687,105,1792,13,158,10,168,553,121,674,364,10,374,141,13,154,33,4,37,553,6,559
Himachal Pradesh,110,35,145,6,0,6,192,19,211,21,0,0,0,355,54,409,60,4,64,9,4,13,0,0,0,43,2,45
Jammu and Kashmir,68,33,101,12,0,12,170,22,192,22,11,0,11,159,33,192,76,6,82,18,0,18,1,0,1,116,3,119
Jharkhand,230,37,267,123,0,123,879,112,991,16,150,16,166,300,23,323,404,10,414,113,19,132,150,9,159,439,30,469
Karnataka,1333,259,1592,72,1,73,4662,509,5171,4,271,52,323,1303,230,1533,513,22,535,129,33,162,20,2,22,317,32,349
Kerala,578,160,738,79,1,80,1495,209,1704,14,112,24,136,174,43,217,43,0,43,15,6,21,2,0,2,34,4,38
Madhya Pradesh,1207,305,1512,130,24,154,4705,736,5441,3,257,46,303,1264,259,1523,845,77,922,241,51,292,107,11,118,755,121,876
Maharashtra,1842,372,2214,167,5,172,5322,546,5868,2,238,33,271,1391,185,1576,543,18,561,99,7,106,24,1,25,707,69,776
Manipur,21,5,26,5,0,5,39,9,48,26,2,1,3,17,3,20,18,0,18,0,0,0,1,0,1,6,0,6
Meghalaya,34,9,43,2,0,2,28,3,31,29,2,0,2,32,1,33,29,0,29,2,0,2,1,0,1,1,0,1
Mizoram,3,2,5,0,0,0,20,1,21,31,0,0,0,6,3,9,6,0,6,1,0,1,0,0,0,0,0,0
Nagaland,9,2,11,2,0,2,12,0,12,32,1,0,1,15,3,18,8,1,9,0,0,0,0,0,0,0,0,0
Orissa,532,100,632,176,7,183,2315,199,2514,11,130,27,157,359,55,414,356,4,360,57,12,69,28,5,33,342,34,376
Punjab,383,70,453,232,5,237,1489,209,1698,15,127,22,149,771,146,917,235,6,241,60,2,62,12,0,12,129,0,129
Rajasthan,901,165,1066,44,0,44,2711,341,3052,8,103,11,114,1882,298,2180,1275,82,1357,244,37,281,1069,87,1156,0,0,0
Sikkim,3,2,5,0,0,0,0,0,0,34,0,0,0,28,11,39,3,0,3,0,0,0,0,0,0,0,0,0
Tamil Nadu,1115,425,1540,379,52,431,3705,544,4249,5,138,36,174,749,182,931,343,25,368,121,19,140,11,0,11,183,32,215
Telangana,903,245,1148,63,0,63,3105,364,3469,7,272,70,342,552,106,658,416,41,457,72,12,84,124,1,125,469,67,536
Tripura,42,9,51,9,0,9,83,5,88,24,6,2,8,14,3,17,9,1,10,3,0,3,2,0,2,3,1,4
Uttarakhand,121,26,147,33,0,33,315,37,352,20,5,1,6,80,19,99,24,0,24,1,0,1,4,0,4,8,0,8
Uttar Pradesh,1411,263,1674,997,126,1123,5575,818,6393,1,1192,190,1382,2556,415,2971,1601,179,1780,885,173,1058,1134,184,1318,1297,153,1450
West Bengal,2068,458,2526,376,15,391,483,14,497,18,32,11,43,553,56,609,662,69,731,94,20,114,4,5,9,7,0,7
Andaman and Nicobar Island,1,2,3,1,0,1,8,0,8,33,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Chandigarh,9,3,12,10,0,10,20,3,23,30,0,0,0,2,1,3,1,0,1,0,0,0,4,0,4,0,0,0
Dadra and Nagar Haveli,16,2,18,3,0,3,36,1,37,27,0,0,0,3,0,3,2,0,2,0,0,0,1,0,1,0,0,0
Daman and Diu,NA,NA,0,NA,NA,0,NA,NA,0,34,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
Delhi,441,64,505,45,3,48,413,28,441,19,11,1,12,52,1,53,3,0,3,3,0,3,11,0,11,112,8,120
Lakshadweep,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,38,9,47,3,0,3,73,6,79,25,0,0,0,9,1,10,1,0,1,5,0,5,0,0,0,0,0,0
Total,19184,4299,23483,3855,312,4167,50852,6430,57282,NA,4237,849,5086,15433,2662,18095,9160,664,9824,2542,459,3001,2970,342,3312,6703,761,7464
