States/UTs,Total Number of Road Accidents - 2017,Total Number of Road Accidents - 2018,Total Number of Road Accidents - 2019,Total Number of Road Accidents - 2020,Share of States/UTs in Total Number of Road Accidents - 2017,Share of States/UTs in Total Number of Road Accidents - 2018,Share of States/UTs in Total Number of Road Accidents - 2019,Share of States/UTs in Total Number of Road Accidents - 2020,Total Number of Accidents Per Lakh Population - 2017,Total Number of Accidents Per Lakh Population - 2018,Total Number of Accidents Per Lakh Population - 2019,Total Number of Accidents Per Lakh Population - 2020,"Total Number of  Road Accidents per 10,000 Vehicles - 2017","Total Number of  Road Accidents per 10,000 Vehicles - 2018","Total Number of  Road Accidents per 10,000 Vehicles - 2019","Total Number of Road Accidents per 10,000 Vehicles - 2020","Total Number of  Road Accidents per 10,000 Km of Roads - 2017","Total Number of  Road Accidents per 10,000 Km of Roads - 2018","Total Number of Road Accidents per 10,000 Km of Roads - 2019","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2020"
Andhra Pradesh,25727,24475,21992,19509.0,5.5,5.2,4.9,5.3,28.7,27.1,24.2,21.5,26.7,22.7,18.3,14.9,1457.8,1121.7,1247.1,1384.2218043202033
Arunachal Pradesh,241,277,237,134.0,0.1,0.1,0.1,0.0,18.0,20.5,17.3,9.8,13.4,13.2,10.3,5.8,65.1,54.8,42.9,40.48972972972973
Assam,7170,8248,8350,6595.0,1.5,1.8,1.9,1.8,21.6,24.6,24.7,19.5,23.7,24.0,21.2,15.1,212.3,240.0,209.2,234.31087492882898
Bihar,8855,9600,10007,8639.0,1.9,2.1,2.2,2.4,8.3,8.9,9.2,8.0,14.2,13.0,11.7,8.7,422.6,330.4,335.6,297.48893956670463
Chhattisgarh,13563,13864,13899,11656.0,2.9,3.0,3.1,3.2,51.2,51.8,51.4,43.1,25.9,23.9,21.8,16.7,1386.2,1351.6,1322.8,1382.2984102808186
Goa,3917,3709,3440,2375.0,0.8,0.8,0.8,0.6,189.4,175.2,158.5,109.4,31.6,28.0,24.5,16.3,2351.3,1993.3,1839.8,2090.0
Gujarat,19081,18769,17046,13398.0,4.1,4.0,3.8,3.7,29.7,28.9,26.0,20.4,8.7,7.9,6.8,5.0,1054.6,930.3,683.6,727.8366938843526
Haryana,11258,11238,10944,9431.0,2.4,2.4,2.4,2.6,39.8,39.3,37.7,32.5,12.0,14.5,12.7,11.0,1383.3,2246.7,2176.1,2292.1799843321587
Himachal Pradesh,3114,3110,2873,2239.0,0.7,0.7,0.6,0.6,43.2,42.8,39.3,30.6,23.0,20.8,17.6,13.1,495.8,502.4,392.3,465.23682904126593
Jammu and Kashmir,5624,5978,5796,4860.0,1.2,1.3,1.3,1.3,44.4,46.8,45.0,37.7,37.2,35.7,31.3,8.7,887.3,550.1,642.1,387.4642008822531
Jharkhand,5198,5394,5217,4405.0,1.1,1.2,1.2,1.2,15.1,15.5,14.8,12.5,15.4,13.4,11.4,13.1,743.9,682.2,1134.7,1882.318664643399
Karnataka,42542,41707,40658,34178.0,9.2,8.9,9.1,9.3,67.1,65.2,63.1,53.1,23.8,21.5,19.3,19.7,1178.3,1176.5,1581.6,1533.3885445153448
Kerala,38470,40181,41111,27877.0,8.3,8.6,9.2,7.6,106.7,110.9,112.9,76.6,34.0,32.6,30.8,25.3,1599.2,1562.9,1388.0,1321.941776466732
Madhya Pradesh,53399,51397,50669,45266.0,11.5,11.0,11.3,12.4,66.7,63.4,61.7,55.1,40.5,38.9,38.4,6.6,1558.4,1412.1,517.0,437.9857714826933
Maharashtra,35853,35717,32925,24971.0,7.7,7.6,7.3,6.8,29.2,28.7,26.2,19.9,11.9,10.9,9.3,11.9,574.6,570.1,207.5,408.408893240936
Manipur,578,601,672,432.0,0.1,0.1,0.1,0.1,21.8,22.5,24.9,16.0,17.0,19.5,18.6,5.9,209.3,206.0,119.7,35.902262443438914
Meghalaya,675,399,482,214.0,0.1,0.1,0.1,0.1,23.8,14.0,16.7,7.4,11.6,12.0,13.2,2.0,294.3,91.0,38.2,33.55909090909091
Mizoram,68,53,62,53.0,0.0,0.0,0.0,0.0,6.3,4.8,5.6,4.8,3.6,2.5,2.7,9.6,61.8,39.6,94.5,50.66176470588235
Nagaland,531,430,358,500.0,0.1,0.1,0.1,0.1,21.9,17.5,14.5,20.2,12.9,9.6,7.3,10.8,146.5,117.2,362.0,639.3356643356643
Odisha,10855,11262,11064,9817.0,2.3,2.4,2.5,2.7,25.2,25.9,25.3,22.4,16.6,15.2,13.4,4.6,357.5,365.7,429.3,286.8762865563364
Punjab,6273,6428,6348,5203.0,1.3,1.4,1.4,1.4,21.2,21.5,21.1,17.3,6.4,6.6,6.0,9.9,449.7,450.7,749.0,1313.4708333333333
Rajasthan,22112,21743,23480,19114.0,4.8,4.7,5.2,5.2,29.5,28.7,30.6,24.9,14.8,13.4,13.3,25.5,832.5,693.8,133.0,297.4985986045679
Sikkim,196,180,162,138.0,0.0,0.0,0.0,0.0,29.7,27.0,24.1,20.5,36.2,29.3,22.6,15.5,172.1,133.2,2311.9,1473.94128440367
Tamil Nadu,65562,63920,57228,45484.0,14.1,13.7,12.7,12.4,93.6,90.9,81.0,64.4,25.1,22.8,19.0,14.9,2507.8,2367.3,1534.6,1408.311542798362
Telangana,22484,22230,21570,19172.0,4.8,4.8,4.8,5.2,64.2,63.5,61.6,54.7,22.8,20.3,17.8,8.5,1782.5,1735.8,145.2,185.8536412839612
Tripura,503,552,655,466.0,0.1,0.1,0.1,0.1,12.9,14.0,16.4,11.7,13.1,12.7,13.2,3.6,117.2,127.7,196.7,210.19574468085108
