States/UTs,Normally Loaded - No. of Accidents,Normally Loaded - No. of Persons - Killed,Normally Loaded - No. of Persons - Greviously Injured,Normally Loaded - No. of Persons - Minor Injured,Overloaded/Hanging - No. of Accidents,Overloaded/Hanging - No. of Persons - Killed,Overloaded/Hanging - No. of Persons - Greviously Injured,Overloaded/Hanging - No. of Persons - Minor Injured,Others - No. of Accidents,Others - No. of Persons - Killed,Others - No. of Persons - Greviously Injured,Others - No. of Persons - Minor Injured,Not Known - No. of Accidents,Not Known - No. of Persons - Killed,Not Known - No. of Persons - Greviously Injured,Not Known - No. of Persons - Minor Injured,Total all india - No. of Accidents,Total all india - No. of Persons - Killed,Total all india - No. of Persons - Greviously Injured,Total all india - No. of Persons - Minor Injured
Andhra Pradesh,12138.0,4387.0,2825.0,9471.0,950.0,369.0,365.0,989.0,4317.0,1455.0,1168.0,2900.0,2104.0,828.0,430.0,1527.0,19509,7039,4788,14887
Arunachal Pradesh,81.0,40.0,48.0,35.0,33.0,19.0,34.0,20.0,8.0,7.0,15.0,13.0,12.0,7.0,12.0,8.0,134,73,109,76
Assam,3064.0,1251.0,2113.0,199.0,1105.0,380.0,836.0,157.0,906.0,345.0,632.0,147.0,1520.0,653.0,1121.0,64.0,6595,2629,4702,567
Bihar,6323.0,4901.0,4892.0,180.0,297.0,236.0,318.0,6.0,1245.0,911.0,1071.0,37.0,774.0,651.0,506.0,6.0,8639,6699,6787,229
Chhattisgarh,5816.0,2220.0,821.0,4251.0,584.0,265.0,133.0,752.0,2207.0,786.0,296.0,1620.0,3049.0,1335.0,421.0,2211.0,11656,4606,1671,8834
Goa,2375.0,223.0,202.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2375,223,202,678
Gujarat,8198.0,3449.0,4589.0,2972.0,671.0,358.0,437.0,356.0,2992.0,1339.0,1604.0,1209.0,1537.0,1024.0,561.0,274.0,13398,6170,7191,4811
Haryana,1542.0,640.0,302.0,815.0,660.0,345.0,175.0,633.0,1189.0,547.0,328.0,843.0,6040.0,2975.0,1432.0,3131.0,9431,4507,2237,5422
Himachal Pradesh,1915.0,769.0,860.0,1857.0,58.0,26.0,37.0,142.0,106.0,60.0,74.0,123.0,160.0,38.0,80.0,50.0,2239,893,1051,2172
Jammu and Kashmir,1718.0,288.0,697.0,1418.0,207.0,37.0,193.0,111.0,236.0,27.0,109.0,172.0,2699.0,376.0,2378.0,816.0,4860,728,3377,2517
Jharkhand,1643.0,1185.0,942.0,223.0,504.0,344.0,333.0,148.0,387.0,266.0,243.0,69.0,1871.0,1249.0,1009.0,328.0,4405,3044,2527,768
Karnataka,25164.0,7160.0,13319.0,15412.0,1597.0,454.0,840.0,1647.0,5224.0,1327.0,2756.0,3723.0,2193.0,819.0,1027.0,768.0,34178,9760,17942,21550
Kerala,25769.0,2721.0,20608.0,7670.0,132.0,32.0,106.0,69.0,465.0,63.0,341.0,138.0,1511.0,163.0,1169.0,409.0,27877,2979,22224,8286
Madhya Pradesh,22369.0,5702.0,2655.0,20623.0,4294.0,1191.0,753.0,3893.0,7671.0,1815.0,1152.0,6603.0,10932.0,2433.0,1466.0,9311.0,45266,11141,6026,40430
Maharashtra,15451.0,6793.0,8958.0,4314.0,1216.0,660.0,858.0,163.0,6811.0,3199.0,3481.0,1264.0,1493.0,917.0,674.0,202.0,24971,11569,13971,5943
Manipur,333.0,95.0,176.0,339.0,67.0,19.0,14.0,92.0,18.0,9.0,15.0,14.0,14.0,4.0,11.0,2.0,432,127,216,447
Meghalaya,80.0,58.0,27.0,50.0,6.0,5.0,2.0,0.0,38.0,27.0,11.0,5.0,90.0,54.0,97.0,28.0,214,144,137,83
Mizoram,31.0,21.0,11.0,22.0,8.0,9.0,7.0,15.0,14.0,12.0,3.0,10.0,0.0,0.0,0.0,0.0,53,42,21,47
Nagaland,125.0,22.0,32.0,82.0,18.0,1.0,7.0,19.0,132.0,19.0,19.0,48.0,225.0,11.0,34.0,45.0,500,53,92,194
Odisha,5505.0,2503.0,3005.0,2010.0,1392.0,671.0,771.0,569.0,1606.0,797.0,747.0,569.0,1314.0,767.0,711.0,440.0,9817,4738,5234,3588
Punjab,2703.0,2060.0,916.0,605.0,625.0,482.0,222.0,161.0,1032.0,752.0,339.0,202.0,843.0,604.0,260.0,199.0,5203,3898,1737,1167
Rajasthan,13031.0,6321.0,3121.0,8546.0,966.0,481.0,363.0,546.0,2354.0,1134.0,575.0,1385.0,2763.0,1314.0,745.0,1488.0,19114,9250,4804,11965
Sikkim,80.0,20.0,43.0,59.0,37.0,16.0,36.0,41.0,21.0,11.0,12.0,27.0,0.0,0.0,0.0,0.0,138,47,91,127
Tamil Nadu,30997.0,5386.0,2321.0,33708.0,2435.0,513.0,304.0,2492.0,8149.0,1447.0,829.0,7892.0,3903.0,713.0,264.0,2741.0,45484,8059,3718,46833
Telangana,15562.0,5604.0,1889.0,13283.0,436.0,144.0,62.0,447.0,1576.0,593.0,266.0,1300.0,1598.0,541.0,108.0,1306.0,19172,6882,2325,16336
Tripura,361.0,146.0,366.0,9.0,75.0,32.0,75.0,1.0,29.0,13.0,18.0,1.0,1.0,1.0,0.0,0.0,466,192,459,11
Uttarakhand,735.0,489.0,481.0,136.0,35.0,33.0,31.0,12.0,159.0,84.0,103.0,26.0,112.0,68.0,54.0,11.0,1041,674,669,185
Uttar Pradesh,13191.0,7393.0,5371.0,3016.0,5780.0,3140.0,2529.0,1418.0,7966.0,4494.0,3270.0,1931.0,7306.0,4122.0,2899.0,1976.0,34243,19149,14069,8341
West Bengal,2341.0,1237.0,2145.0,329.0,144.0,93.0,141.0,18.0,509.0,277.0,381.0,66.0,6186.0,3320.0,4663.0,571.0,9180,4927,7330,984
Andaman and Nicobar Islands,91.0,13.0,41.0,77.0,0.0,0.0,0.0,0.0,50.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,141,14,55,90
Chandigarh,151.0,44.0,14.0,134.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,159,53,14,134
Dadra and Nagar Haveli,38.0,27.0,32.0,35.0,1.0,0.0,0.0,2.0,48.0,27.0,25.0,17.0,13.0,10.0,5.0,3.0,100,64,62,57
Delhi ,791.0,218.0,32.0,675.0,171.0,61.0,26.0,137.0,804.0,230.0,42.0,646.0,2412.0,687.0,112.0,1992.0,4178,1196,212,3450
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,1,0
Puducherry,620.0,103.0,193.0,444.0,0.0,0.0,0.0,0.0,210.0,22.0,85.0,142.0,139.0,20.0,32.0,123.0,969,145,310,709
Total ,220332.0,73489.0,84047.0,133677.0,24504.0,10416.0,10008.0,15056.0,58487.0,22105.0,20024.0,33155.0,62815.0,25704.0,22282.0,30030.0,366138,131714,136361,211918
