States/UTs,Drivers - Persons Killed,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,230.0,153.0,389.0,542,242.0,118.0,754.0,872
Arunachal Pradesh,6.0,3.0,4.0,7,2.0,3.0,3.0,6
Assam,160.0,270.0,27.0,297,0.0,0.0,0.0,0
Bihar,68.0,61.0,0.0,61,25.0,24.0,0.0,24
Chhattisgarh,253.0,82.0,504.0,586,194.0,114.0,704.0,818
Goa,2.0,2.0,5.0,7,5.0,29.0,64.0,93
Gujarat,407.0,431.0,320.0,751,391.0,526.0,425.0,951
Haryana,232.0,156.0,220.0,376,90.0,231.0,125.0,356
Himachal Pradesh,326.0,270.0,484.0,754,273.0,280.0,1041.0,1321
Jammu and Kashmir,60.0,69.0,215.0,284,36.0,254.0,334.0,588
Jharkhand,519.0,447.0,83.0,530,303.0,258.0,69.0,327
Karnataka,350.0,778.0,857.0,1635,520.0,996.0,1529.0,2525
Kerala,31.0,57.0,52.0,109,94.0,367.0,429.0,796
Madhya Pradesh,762.0,388.0,2422.0,2810,634.0,333.0,2803.0,3136
Maharashtra,526.0,663.0,346.0,1009,714.0,1044.0,458.0,1502
Manipur,4.0,9.0,28.0,37,7.0,33.0,35.0,68
Meghalaya,8.0,2.0,3.0,5,5.0,26.0,44.0,70
Mizoram,0.0,2.0,1.0,3,7.0,0.0,7.0,7
Nagaland,8.0,13.0,10.0,23,9.0,23.0,29.0,52
Orissa,190.0,289.0,213.0,502,268.0,505.0,461.0,966
Punjab,250.0,89.0,58.0,147,170.0,119.0,67.0,186
Rajasthan,639.0,349.0,727.0,1076,800.0,622.0,1351.0,1973
Sikkim,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Tamil Nadu,332.0,169.0,1536.0,1705,204.0,64.0,1401.0,1465
Telangana,278.0,64.0,617.0,681,345.0,94.0,1526.0,1620
Tripura,10.0,23.0,0.0,23,24.0,130.0,0.0,130
Uttarakhand,27.0,18.0,9.0,27,57.0,62.0,24.0,86
Uttar Pradesh,1858.0,1397.0,768.0,2165,1640.0,1226.0,755.0,1981
West Bengal,226.0,192.0,219.0,411,242.0,103.0,221.0,324
Andaman and Nicobar Islands,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Chandigarh,0.0,0.0,0.0,0,0.0,0.0,2.0,2
Dadra and Nagar Haveli,3.0,1.0,1.0,2,7.0,15.0,31.0,46
Delhi,45.0,8.0,46.0,54,14.0,6.0,41.0,47
Lakshadweep,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Puducherry,0.0,1.0,2.0,3,14.0,27.0,115.0,142
Total,7810.0,6456.0,10166.0,16622,7336.0,7632.0,14848.0,22480
