States/UTs,Traffic Light Signal - Total number of Accidents,Traffic Light Signal - Persons Killed,Traffic Light Signal - Persons Injured - Greviously Injured,Traffic Light Signal - Persons Injured - Minor Injury,Traffic Light Signal - Persons Injured - Total Injured,Police Controlled - Total number of Accidents,Police Controlled - Persons Killed,Police Controlled - Persons Injured - Greviously Injured,Police Controlled - Persons Injured - Minor Injury,Police Controlled - Persons Injured - Total Injured,Stop Sign - Total number of Accidents,Stop Sign - Persons Killed,Stop Sign - Persons Injured - Greviously Injured,Stop Sign - Persons Injured - Minor Injury,Stop Sign - Persons Injured - Total Injured,Flashing Signal/Blinker - Total number of Accidents,Flashing Signal/Blinker - Persons Killed,Flashing Signal/Blinker - Persons Injured - Greviously Injured,Flashing Signal/Blinker - Persons Injured - Minor Injury,Flashing Signal/Blinker - Persons Injured - Total Injured,Uncontrolled - Total number of Accidents,Uncontrolled - Persons Killed,Uncontrolled - Persons Injured - Greviously Injured,Uncontrolled - Persons Injured - Minor Injury,Uncontrolled - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,838.0,211.0,312.0,359.0,671,547.0,144.0,175.0,321.0,496,405.0,123.0,130.0,224.0,354,378.0,100.0,87.0,288.0,375,4185.0,1505.0,1288.0,2358.0,3646,13156.0,4956.0,2796.0,11337.0,14133.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,32.0,14.0,30.0,13.0,43,54.0,38.0,45.0,35.0,80,48.0,21.0,34.0,28.0,62.0
Assam,181.0,44.0,135.0,35.0,170,186.0,54.0,207.0,13.0,220,123.0,33.0,169.0,13.0,182,147.0,58.0,131.0,9.0,140,1164.0,417.0,862.0,125.0,987,4794.0,2023.0,3198.0,372.0,3570.0
Bihar,0.0,0.0,0.0,0.0,0,25.0,19.0,15.0,3.0,18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1501.0,1073.0,882.0,42.0,924,7113.0,5607.0,5890.0,184.0,6074.0
Chhattisgarh,210.0,43.0,25.0,83.0,108,151.0,46.0,10.0,128.0,138,69.0,19.0,8.0,43.0,51,129.0,37.0,20.0,72.0,92,1927.0,702.0,277.0,1209.0,1486,9170.0,3759.0,1331.0,7299.0,8630.0
Goa,37.0,0.0,3.0,3.0,6,30.0,0.0,4.0,4.0,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,217.0,14.0,7.0,51.0,58,2091.0,209.0,188.0,620.0,808.0
Gujarat,159.0,41.0,83.0,29.0,112,252.0,74.0,103.0,125.0,228,96.0,33.0,56.0,30.0,86,29.0,10.0,12.0,7.0,19,2721.0,1222.0,1484.0,882.0,2366,10141.0,4790.0,5453.0,3738.0,9191.0
Haryana,128.0,62.0,20.0,93.0,113,52.0,18.0,23.0,34.0,57,105.0,21.0,12.0,30.0,42,303.0,136.0,74.0,96.0,170,1391.0,559.0,624.0,392.0,1016,7452.0,3711.0,1484.0,4777.0,6261.0
Himachal Pradesh,3.0,3.0,1.0,0.0,1,8.0,1.0,4.0,3.0,7,1.0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,46.0,14.0,31.0,32.0,63,2180.0,874.0,1014.0,2137.0,3151.0
Jammu and Kashmir,6.0,1.0,4.0,0.0,4,169.0,42.0,155.0,22.0,177,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,517.0,96.0,496.0,162.0,658,4168.0,589.0,2722.0,2333.0,5055.0
Jharkhand,46.0,13.0,12.0,17.0,29,46.0,19.0,14.0,28.0,42,53.0,23.0,16.0,24.0,40,60.0,42.0,17.0,29.0,46,1028.0,712.0,656.0,218.0,874,3172.0,2235.0,1812.0,452.0,2264.0
Karnataka,1075.0,183.0,575.0,488.0,1063,848.0,165.0,491.0,345.0,836,412.0,50.0,229.0,196.0,425,563.0,117.0,352.0,359.0,711,6244.0,1614.0,3693.0,3040.0,6733,25036.0,7631.0,12602.0,17122.0,29724.0
Kerala,510.0,43.0,397.0,125.0,522,849.0,65.0,704.0,197.0,901,120.0,12.0,96.0,25.0,121,509.0,49.0,428.0,127.0,555,7007.0,635.0,5725.0,1987.0,7712,18882.0,2175.0,14874.0,5825.0,20699.0
