States/UTs,Over-Speeding - Number of Accidents,Over-Speeding - Persons Killed,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,14716.0,5227.0,3984.0,11208.0,15192,77.0,29.0,19.0,56.0,75,413.0,137.0,108.0,353.0,461,17.0,2.0,0.0,0.0,0,143.0,38.0,32.0,156.0,188,4143.0,1606.0,645.0,3114.0,3759
Arunachal Pradesh,64.0,42.0,56.0,38.0,94,18.0,9.0,12.0,12.0,24,23.0,7.0,14.0,9.0,23,0.0,0.0,0.0,0.0,0,3.0,1.0,3.0,2.0,5,26.0,14.0,24.0,15.0,39
Assam,4586.0,1899.0,1307.0,389.0,1696,468.0,252.0,928.0,36.0,964,544.0,152.0,842.0,45.0,887,157.0,36.0,389.0,16.0,405,198.0,51.0,565.0,25.0,590,642.0,239.0,671.0,56.0,727
Bihar,3298.0,2713.0,2585.0,85.0,2670,28.0,10.0,29.0,0.0,29,740.0,550.0,524.0,22.0,546,0.0,0.0,0.0,0.0,0,163.0,89.0,174.0,0.0,174,4410.0,3337.0,3475.0,122.0,3597
Chhattisgarh,9996.0,4045.0,1461.0,7407.0,8868,67.0,27.0,5.0,195.0,200,497.0,109.0,71.0,440.0,511,67.0,4.0,2.0,42.0,44,21.0,10.0,1.0,17.0,18,1008.0,411.0,131.0,733.0,864
Goa,1845.0,181.0,143.0,623.0,766,8.0,0.0,2.0,4.0,6,229.0,18.0,34.0,36.0,70,5.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0,288.0,23.0,23.0,14.0,37
Gujarat,12449.0,5806.0,6648.0,4474.0,11122,57.0,12.0,19.0,32.0,51,543.0,208.0,342.0,203.0,545,28.0,12.0,13.0,4.0,17,79.0,11.0,25.0,34.0,59,242.0,121.0,144.0,64.0,208
Haryana,6251.0,3011.0,1026.0,4131.0,5157,138.0,38.0,17.0,55.0,72,515.0,176.0,173.0,277.0,450,34.0,11.0,4.0,19.0,23,421.0,166.0,268.0,38.0,306,2072.0,1105.0,749.0,902.0,1651
Himachal Pradesh,1383.0,558.0,574.0,1385.0,1959,76.0,20.0,39.0,76.0,115,462.0,172.0,277.0,409.0,686,0.0,0.0,0.0,0.0,0,25.0,8.0,10.0,8.0,18,293.0,135.0,151.0,294.0,445
Jammu and Kashmir,4821.0,727.0,3308.0,2496.0,5804,0.0,0.0,0.0,0.0,0,30.0,1.0,48.0,11.0,59,0.0,0.0,21.0,10.0,31,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
