States/UTs,January - Fatal Accidents,January - Total Accidents,January - Persons Killed,January - Persons Injured - Greviously Injured,January - Persons Injured - Minor Injury,January - Persons Injured - Total Injured,February - Fatal Accidents,February - Total Accidents,February - Persons Killed,February - Persons Injured - Greviously Injured,February - Persons Injured - Minor Injury,February - Persons Injured - Total Injured,March - Fatal Accidents,March - Total Accidents,March - Persons Killed,March - Persons Injured - Greviously Injured,March - Persons Injured - Minor Injury,March - Persons Injured - Total Injured,April - Fatal Accidents,April - Total Accidents,April - Persons Killed,April - Persons Injured - Greviously Injured,April - Persons Injured - Minor Injury,April - Persons Injured - Total Injured,May - Fatal Accidents,May - Total Accidents,May - Persons Killed,May - Persons Injured - Greviously Injured,May - Persons Injured - Minor Injury,May - Persons Injured - Total Injured,June - Fatal Accidents,June - Total Accidents,June - Persons Killed,June - Persons Injured - Greviously Injured,June - Persons Injured - Minor Injury,June - Persons Injured - Total Injured,July - Fatal Accidents,July - Total Accidents,July - Persons Killed,July - Persons Injured - Greviously Injured,July - Persons Injured - Minor Injury,July - Persons Injured - Total Injured,August - Fatal Accidents,August - Total Accidents,August - Persons Killed,August - Persons Injured - Greviously Injured,August - Persons Injured - Minor Injury,August - Persons Injured - Total Injured,September - Fatal Accidents,September - Total Accidents,September - Persons Killed,September - Persons Injured - Greviously Injured,September - Persons Injured - Minor Injury,September - Persons Injured - Total Injured,October - Fatal Accidents,October - Total Accidents,October - Persons Killed,October - Persons Injured - Greviously Injured,October - Persons Injured - Minor Injury,October - Persons Injured - Total Injured,November - Fatal Accidents,November - Total Accidents,November - Persons Killed,November - Persons Injured - Greviously Injured,November - Persons Injured - Minor Injury,November - Persons Injured - Total Injured,December - Fatal Accidents,December - Total Accidents,December - Persons Killed,December - Persons Injured - Greviously Injured,December - Persons Injured - Minor Injury,December - Persons Injured - Total Injured,Total - Fatal Accidents,Total - Total Accidents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Andhra Pradesh,628.0,2003.0,676.0,528.0,1706.0,2234,612.0,2003.0,660.0,554.0,1672.0,2226,532.0,1621.0,580.0,450.0,1339.0,1789,199.0,510.0,209.0,120.0,357.0,477,421.0,1116.0,450.0,254.0,810.0,1064,486.0,1444.0,526.0,389.0,1028.0,1417,475.0,1319.0,513.0,333.0,890.0,1223,575.0,1492.0,608.0,317.0,1145.0,1462,650.0,1699.0,717.0,388.0,1290.0,1678,616.0,1855.0,672.0,460.0,1396.0,1856,671.0,2249.0,710.0,481.0,1628.0,2109,666.0,2198.0,718.0,514.0,1626.0,2140,6531.0,19509.0,7039.0,4788.0,14887.0,19675
Arunachal Pradesh,7.0,11.0,9.0,16.0,18.0,34,8.0,14.0,10.0,12.0,6.0,18,6.0,13.0,8.0,10.0,5.0,15,3.0,4.0,3.0,3.0,2.0,5,4.0,12.0,5.0,8.0,2.0,10,2.0,6.0,2.0,4.0,6.0,10,5.0,7.0,2.0,4.0,6.0,10,2.0,6.0,2.0,6.0,2.0,8,3.0,6.0,5.0,2.0,5.0,7,7.0,14.0,11.0,14.0,9.0,23,5.0,17.0,7.0,15.0,7.0,22,9.0,24.0,9.0,15.0,8.0,23,61.0,134.0,73.0,109.0,76.0,185
Assam,286.0,810.0,307.0,622.0,72.0,694,300.0,809.0,325.0,650.0,78.0,728,208.0,649.0,224.0,606.0,64.0,670,37.0,111.0,38.0,76.0,19.0,95,150.0,349.0,156.0,206.0,29.0,235,199.0,508.0,209.0,325.0,32.0,357,141.0,409.0,149.0,284.0,28.0,312,154.0,432.0,165.0,285.0,41.0,326,213.0,494.0,224.0,308.0,37.0,345,236.0,623.0,243.0,413.0,45.0,458,263.0,670.0,272.0,446.0,41.0,487,296.0,731.0,317.0,481.0,81.0,562,2483.0,6595.0,2629.0,4702.0,567.0,5269
Bihar,535.0,759.0,569.0,586.0,13.0,599,587.0,857.0,640.0,703.0,32.0,735,505.0,726.0,572.0,638.0,12.0,650,194.0,305.0,203.0,240.0,9.0,249,364.0,523.0,403.0,394.0,2.0,396,620.0,850.0,684.0,663.0,18.0,681,474.0,672.0,518.0,535.0,30.0,565,530.0,706.0,574.0,544.0,28.0,572,543.0,741.0,576.0,559.0,30.0,589,506.0,693.0,541.0,540.0,17.0,557,586.0,785.0,625.0,634.0,15.0,649,753.0,1022.0,794.0,751.0,23.0,774,6197.0,8639.0,6699.0,6787.0,229.0,7016
Chhattisgarh,419.0,1375.0,453.0,265.0,1158.0,1423,431.0,1262.0,492.0,221.0,991.0,1212,359.0,957.0,389.0,177.0,737.0,914,118.0,286.0,128.0,38.0,190.0,228,268.0,699.0,290.0,118.0,482.0,600,362.0,917.0,390.0,149.0,620.0,769,377.0,960.0,400.0,142.0,687.0,829,318.0,908.0,351.0,151.0,621.0,772,327.0,864.0,363.0,107.0,630.0,737,370.0,1049.0,400.0,107.0,758.0,865,440.0,1198.0,470.0,112.0,936.0,1048,445.0,1181.0,480.0,84.0,1024.0,1108,4234.0,11656.0,4606.0,1671.0,8834.0,10505
Goa,30.0,344.0,31.0,30.0,125.0,155,27.0,315.0,27.0,38.0,84.0,122,26.0,196.0,29.0,7.0,40.0,47,7.0,82.0,7.0,10.0,19.0,29,9.0,156.0,10.0,15.0,45.0,60,18.0,156.0,19.0,9.0,32.0,41,10.0,129.0,10.0,8.0,28.0,36,12.0,145.0,13.0,13.0,33.0,46,13.0,156.0,13.0,12.0,72.0,84,20.0,183.0,21.0,17.0,64.0,81,17.0,241.0,19.0,19.0,69.0,88,24.0,272.0,24.0,24.0,67.0,91,213.0,2375.0,223.0,202.0,678.0,880
Gujarat,602.0,1538.0,667.0,916.0,521.0,1437,620.0,1540.0,682.0,820.0,676.0,1496,520.0,1232.0,575.0,714.0,500.0,1214,160.0,346.0,175.0,163.0,114.0,277,288.0,665.0,312.0,320.0,233.0,553,411.0,950.0,438.0,521.0,348.0,869,413.0,954.0,446.0,474.0,299.0,773,396.0,974.0,430.0,497.0,316.0,813,432.0,1078.0,465.0,574.0,375.0,949,496.0,1287.0,546.0,676.0,445.0,1121,637.0,1376.0,709.0,737.0,536.0,1273,647.0,1458.0,725.0,779.0,448.0,1227,5622.0,13398.0,6170.0,7191.0,4811.0,12002
Haryana,378.0,881.0,412.0,171.0,568.0,739,380.0,946.0,415.0,233.0,604.0,837,308.0,764.0,337.0,182.0,463.0,645,90.0,202.0,100.0,41.0,103.0,144,233.0,498.0,247.0,134.0,261.0,395,321.0,733.0,343.0,209.0,422.0,631,341.0,784.0,361.0,171.0,466.0,637,385.0,854.0,425.0,193.0,472.0,665,368.0,814.0,391.0,164.0,442.0,606,467.0,1004.0,495.0,234.0,504.0,738,466.0,966.0,496.0,238.0,546.0,784,444.0,985.0,485.0,267.0,571.0,838,4181.0,9431.0,4507.0,2237.0,5422.0,7659
Himachal Pradesh,63.0,190.0,71.0,90.0,233.0,323,60.0,195.0,65.0,98.0,163.0,261,49.0,168.0,67.0,82.0,230.0,312,16.0,49.0,20.0,29.0,33.0,62,36.0,116.0,41.0,60.0,98.0,158,46.0,139.0,55.0,58.0,111.0,169,71.0,223.0,89.0,94.0,198.0,292,59.0,216.0,70.0,101.0,180.0,281,65.0,217.0,82.0,111.0,151.0,262,94.0,279.0,113.0,138.0,264.0,402,93.0,223.0,123.0,90.0,239.0,329,82.0,224.0,97.0,100.0,272.0,372,734.0,2239.0,893.0,1051.0,2172.0,3223
Jammu and Kashmir,46.0,361.0,57.0,303.0,155.0,458,47.0,440.0,68.0,357.0,234.0,591,43.0,356.0,48.0,209.0,214.0,423,17.0,145.0,18.0,64.0,87.0,151,42.0,320.0,42.0,227.0,159.0,386,50.0,388.0,65.0,235.0,210.0,445,55.0,410.0,68.0,297.0,216.0,513,54.0,464.0,58.0,340.0,235.0,575,65.0,467.0,76.0,310.0,254.0,564,65.0,536.0,75.0,358.0,282.0,640,78.0,520.0,86.0,348.0,272.0,620,61.0,453.0,67.0,329.0,199.0,528,623.0,4860.0,728.0,3377.0,2517.0,5894
